#Ecol(eV)    prop(Jmax)    ICS(bohr^2)
    0.001000000     0.000009812     0.000827901
    0.002000000     0.000032193     0.001355602
    0.003000000     0.000060727     0.001695284
    0.004000000     0.000068459     0.001439065
    0.005000000     0.000092698     0.001566605
    0.006000000     0.000114247     0.001614508
    0.007000000     0.000146565     0.001781960
    0.008000000     0.000180109     0.001918588
    0.009000000     0.000230718     0.002176202
    0.010000000     0.000285966     0.002421918
    0.011000000     0.000352833     0.002713233
    0.012000000     0.000434421     0.003067946
    0.013000000     0.000523454     0.003427986
    0.014000000     0.000627559     0.003832199
    0.015000000     0.000751069     0.004294902
    0.016000000     0.000888093     0.004776715
    0.017000000     0.001041062     0.005284781
    0.018000000     0.001216409     0.005843276
    0.019000000     0.001409869     0.006427888
    0.020000000     0.001615297     0.007010294
    0.021000000     0.001837133     0.007606321
    0.022000000     0.002079280     0.008227539
    0.023000000     0.002335126     0.008847968
    0.024000000     0.002597205     0.009442688
    0.025000000     0.002867614     0.010019633
    0.026000000     0.003152639     0.010598757
    0.027000000     0.003447815     0.011166897
    0.028000000     0.003741460     0.011693508
    0.029000000     0.004028246     0.012168635
    0.030000000     0.004316889     0.012619268
    0.031000000     0.004616702     0.013070105
    0.032000000     0.004923362     0.013511072
    0.033000000     0.005217525     0.013900371
    0.034000000     0.005479283     0.014205125
    0.035000000     0.005612001     0.014274243
    0.036000000     0.005877721     0.014244229
    0.037000000     0.005940650     0.014301279
    0.038000000     0.006233641     0.014518657
    0.039000000     0.006320404     0.014332025
    0.040000000     0.006611382     0.014703393
    0.041000000     0.006663052     0.014462839
    0.042000000     0.006843921     0.014500125
    0.043000000     0.007048910     0.014651144
    0.044000000     0.007048183     0.014271915
    0.045000000     0.007258056     0.014432590
    0.046000000     0.007399571     0.014427859
    0.047000000     0.007433550     0.014165385
    0.048000000     0.007580119     0.014172537
    0.049000000     0.007715835     0.014166077
    0.050000000     0.007770180     0.013986293
    0.051000000     0.007855207     0.013867941
    0.052000000     0.007977942     0.013837641
    0.053000000     0.008079756     0.013766538
    0.054000000     0.008160489     0.013653044
    0.055000000     0.008248683     0.013557126
    0.056000000     0.008346075     0.013483174
    0.057000000     0.008444780     0.013412695
    0.058000000     0.008545157     0.013344824
    0.059000000     0.008649210     0.013283022
    0.060000000     0.008756421     0.013226045
    0.061000000     0.008867559     0.013175771
    0.062000000     0.008984186     0.013135835
    0.063000000     0.009105890     0.013104641
    0.064000000     0.009231110     0.013077375
    0.065000000     0.009359554     0.013052757
    0.066000000     0.009492744     0.013034545
    0.067000000     0.009632522     0.013026825
    0.068000000     0.009779020     0.013029019
    0.069000000     0.009929995     0.013036133
    0.070000000     0.010082366     0.013043206
    0.071000000     0.010234302     0.013048725
    0.072000000     0.010386516     0.013055036
    0.073000000     0.010541879     0.013066187
    0.074000000     0.010703048     0.013084501
    0.075000000     0.010870455     0.013109038
    0.076000000     0.011042479     0.013136961
    0.077000000     0.011215854     0.013164759
    0.078000000     0.011383217     0.013186227
    0.079000000     0.011532607     0.013191855
    0.080000000     0.011662244     0.013181333
    0.081000000     0.011784715     0.013166113
    0.082000000     0.011908865     0.013153158
    0.083000000     0.012035193     0.013141733
    0.084000000     0.012161171     0.013129247
    0.085000000     0.012285353     0.013115025
    0.086000000     0.012408632     0.013100569
    0.087000000     0.012532510     0.013087557
    0.088000000     0.012657078     0.013076146
    0.089000000     0.012781301     0.013065373
    0.090000000     0.012903995     0.013054118
    0.091000000     0.013024241     0.013041567
    0.092000000     0.013141764     0.013027585
    0.093000000     0.013256941     0.013012656
    0.094000000     0.013370254     0.012997284
    0.095000000     0.013481765     0.012981511
    0.096000000     0.013591008     0.012964849
    0.097000000     0.013697215     0.012946500
    0.098000000     0.013799812     0.012925808
    0.099000000     0.013899052     0.012902814
    0.100000000     0.013996174     0.012878383
