   1    9124.088500      0.1433393165       0.020336
   2    9125.088500      0.1490852597       0.020942
   3    9126.088500      0.1539318244       0.021411
   4    9127.088500      0.1570860641       0.021637
   5    9128.088500      0.1600801634       0.021838
   6    9129.088500      0.1637236561       0.022122
   7    9130.088500      0.1677307050       0.022450
   8    9131.088500      0.1716719920       0.022762
   9    9132.088500      0.1754442997       0.023047
  10    9133.088500      0.1791336458       0.023316
  11    9134.088500      0.1828390594       0.023582
  12    9135.088500      0.1865911626       0.023849
  13    9136.088500      0.1903785828       0.024116
  14    9137.088500      0.1941561817       0.024377
  15    9138.088500      0.1979390201       0.024634
  16    9139.088500      0.2017378260       0.024888
  17    9140.088500      0.2055803173       0.025143
  18    9141.088500      0.2095245637       0.025407
  19    9142.088500      0.2136274985       0.025685
  20    9143.088500      0.2179505690       0.025984
  21    9144.088500      0.2226338530       0.026322
  22    9145.088500      0.2278904072       0.026720
  23    9146.088500      0.2341257327       0.027226
  24    9147.088500      0.2422045145       0.027937
  25    9148.088500      0.2541809128       0.029082
  26    9149.088500      0.2761690205       0.031345
  27    9150.088500      0.3317890810       0.037359
  28    9151.088500      0.4104802546       0.045855
  29    9152.088500      0.2531763898       0.028062
  30    9153.088500      0.2272801298       0.024996
  31    9154.088500      0.2275896178       0.024838
  32    9155.088500      0.2311732424       0.025036
  33    9156.088500      0.2351295889       0.025272
  34    9157.088500      0.2389843774       0.025493
  35    9158.088500      0.2426638288       0.025692
  36    9159.088500      0.2461934852       0.025873
  37    9160.088500      0.2496119165       0.026039
  38    9161.088500      0.2529515365       0.026195
  39    9162.088500      0.2562465931       0.026344
  40    9163.088500      0.2595097060       0.026487
  41    9164.088500      0.2627745268       0.026629
  42    9165.088500      0.2660813866       0.026773
  43    9166.088500      0.2694524285       0.026921
  44    9167.088500      0.2729372945       0.027079
  45    9168.088500      0.2765984973       0.027251
  46    9169.088500      0.2805042853       0.027446
  47    9170.088500      0.2847843410       0.027674
  48    9171.088500      0.2896265348       0.027953
  49    9172.088500      0.2952946585       0.028307
  50    9173.088500      0.3023337645       0.028787
  51    9174.088500      0.3116867908       0.029480
  52    9175.088500      0.3254259418       0.030576
  53    9176.088500      0.3487456948       0.032551
  54    9177.088500      0.3973873285       0.036849
  55    9178.088500      0.5137275434       0.047327
  56    9179.088500      0.4071392354       0.037266
  57    9180.088500      0.2665655138       0.024243
  58    9181.088500      0.2570461890       0.023228
  59    9182.088500      0.2618345168       0.023511
  60    9183.088500      0.2676490312       0.023882
  61    9184.088500      0.2729608650       0.024204
  62    9185.088500      0.2777527701       0.024476
  63    9186.088500      0.2821478800       0.024709
  64    9187.088500      0.2863324818       0.024922
  65    9188.088500      0.2904604858       0.025127
  66    9189.088500      0.2946896145       0.025339
  67    9190.088500      0.2991936330       0.025571
  68    9191.088500      0.3042229193       0.025845
  69    9192.088500      0.3101374772       0.026191
  70    9193.088500      0.3175363941       0.026657
  71    9194.088500      0.3275983815       0.027340
  72    9195.088500      0.3428265850       0.028443
  73    9196.088500      0.3698374061       0.030506
  74    9197.088500      0.4310718824       0.035351
  75    9198.088500      0.5918521448       0.048258
  76    9199.088500      0.3416333897       0.027696
  77    9200.088500      0.2540227081       0.020477
  78    9201.088500      0.2589564293       0.020757
  79    9202.088500      0.2683049114       0.021385
  80    9203.088500      0.2766712889       0.021929
  81    9204.088500      0.2842473965       0.022404
  82    9205.088500      0.2917125133       0.022865
  83    9206.088500      0.2998718677       0.023376
  84    9207.088500      0.3099884430       0.024032
  85    9208.088500      0.3246535988       0.025032
  86    9209.088500      0.3513716692       0.026946
  87    9210.088500      0.4239028688       0.032334
  88    9211.088500      0.6218041141       0.047175
  89    9212.088500      0.2444428125       0.018447
  90    9213.088500      0.2556456170       0.019190
  91    9214.088500      0.2728648841       0.020375
  92    9215.088500      0.2897255132       0.021521
  93    9216.088500      0.3141649602       0.023214
  94    9217.088500      0.3957516064       0.029092
  95    9218.088500      0.2398402957       0.017540
  96    9219.088500      0.2763919440       0.020109
  97    9220.088500      0.3115771821       0.022553
  98    9221.088500      0.3165976925       0.022800
  99    9222.088500      0.3129288552       0.022422
 100    9223.088500      0.3112930714       0.022193
